,0
0,200711
1,110602
2,104460
3,104468
4,208937
5,206909
6,104527
7,104542
8,104545
9,110748
10,209070
11,133297
12,127157
13,110778
14,209098
15,104655
16,104660
17,104665
18,104678
19,209147
20,104731
21,100644
22,104745
23,104755
24,133430
25,209225
26,209226
27,207182
28,104792
29,104797
30,127339
31,207213
32,209262
33,207249
34,104868
35,104871
36,104897
37,104898
38,104901
39,104907
40,104918
41,104919
42,104925
43,104926
44,104947
45,109054
46,207386
47,104999
48,111153
49,105011
50,105023
51,105041
52,111187
53,111190
54,105051
55,111200
56,207457
57,105062
58,105063
59,105064
60,117356
61,117358
62,117360
63,105074
64,105077
65,207518
66,105138
67,121531
68,105155
69,105173
70,207608
71,105208
72,105216
73,105226
74,105227
75,127760
76,207669
77,207678
78,207680
79,111442
80,133975
81,111453
82,131934
83,105311
84,111456
85,111454
86,111460
87,125802
88,123755
89,131951
90,105332
91,207733
92,207738
93,105341
94,105357
95,105359
96,111505
97,123795
98,111511
99,111513
100,111515
101,105376
102,105379
103,103333
104,205734
105,105385
106,207799
107,105406
108,209857
109,105413
110,134087
111,209863
112,209867
113,209868
114,209870
115,207826
116,111574
117,105430
118,111575
119,207830
120,111578
121,111576
122,207836
123,111581
124,105432
125,105434
126,105441
127,105449
128,105453
129,209903
130,209916
131,105477
132,105487
133,128034
134,105512
135,207925
136,105526
137,123961
138,105539
139,103499
140,105550
141,123983
142,105554
143,105561
144,105575
145,207976
146,105577
147,103529
148,124013
149,124014
150,105583
151,105587
152,207989
153,105589
154,208013
155,126094
156,105613
157,111761
158,126107
159,208028
160,208029
161,210079
162,105633
163,126120
164,105641
165,105643
166,109739
167,111790
168,124079
169,126128
170,105649
171,111794
172,126127
173,111797
174,105656
175,105657
176,132283
177,210107
178,126149
179,111815
180,105671
181,105676
182,126156
183,105683
184,124116
185,122078
186,208103
187,126185
188,126190
189,126197
190,136440
191,208122
192,126203
193,126204
194,126205
195,105723
196,126207
197,122109
198,144642
199,105731
200,105732
201,126214
202,124186
203,124187
204,105757
205,126239
206,144684
207,105777
208,200000
209,144707
210,200005
211,202058
212,210250
213,105806
214,105807
215,144719
216,202065
217,105815
218,206173
219,200031
220,210274
221,105827
222,208230
223,202090
224,144750
225,105841
226,202103
227,202104
228,208260
229,126340
230,202122
231,103819
232,200075
233,105870
234,105877
235,208278
236,105882
237,200095
238,105899
239,103852
240,105902
241,144817
242,105905
243,105911
244,122298
245,144826
246,105916
247,208317
248,126409
249,144841
250,105932
251,105933
252,120270
253,105936
254,202195
255,103893
256,105943
257,122330
258,105948
259,105952
260,144869
261,103917
262,200175
263,105967
264,208367
265,144895
266,105985
267,105992
268,106000
269,202261
270,106005
271,202262
272,200221
273,202269
274,106026
275,144940
276,200240
277,106034
278,200247
279,200250
280,106043
281,126523
282,106045
283,106044
284,126535
285,106058
286,200267
287,132686
288,106065
289,200273
290,106071
291,144985
292,200282
293,106075
294,126555
295,106078
296,200297
297,126573
298,200303
299,134770
300,106099
301,208502
302,200310
303,106109
304,106110
305,200325
306,106121
307,202378
308,200335
309,200336
310,202385
311,126610
312,126609
313,106137
314,202398
315,126623
316,202400
317,126627
318,106148
319,122548
320,134840
321,126652
322,106174
323,106175
324,200384
325,200390
326,106186
327,122570
328,134868
329,106198
330,200416
331,106210
332,106214
333,106216
334,106218
335,202475
336,106220
337,106227
338,200436
339,106228
340,106232
341,106233
342,106234
343,106250
344,200484
345,104229
346,106281
347,106283
348,122669
349,106288
350,106291
351,106293
352,126774
353,106296
354,106298
355,106302
356,200514
357,104259
358,104269
359,106328
360,106329
361,206681
362,106331
363,104291
364,106353
365,104312
366,200572
367,126845
368,126846
369,106368
370,200589
371,106393
372,133018
373,206748
374,106397
375,206750
376,106401
377,200615
378,106408
379,200622
380,106415
381,200624
382,106421
383,106423
384,106425
385,106426
386,106432
387,110536
388,208843
389,126939
390,200670
391,126952
392,126964
