Novak Djokovic,2250
Stefanos Tsitsipas,1470
Karen Khachanov,810
Tommy Paul,785
Jannik Sinner,775
Taylor Fritz,735
Daniil Medvedev,680
Cameron Norrie,565
Ben Shelton,540
Tallon Griekspoor,520
Sebastian Korda,510
Jiri Lehecka,447
Frances Tiafoe,395
Andrey Rublev,360
Roberto Bautista-Agut,350
Marton Fucsovics,330
Alex De Minaur,325
Holger Rune,315
John Wolf Jeffrey,310
Yibing Wu,306
Richard Gasquet,305
Hubert Hurkacz,300
Grigor Dimitrov,295
Yoshihito Nishioka,290
Thanasi Kokkinakis,280
Woo Kwon Soon,278
Gregoire Barrere,277
Felix Auger Aliassime,270
Yosuke Watanuki,266
Federico Coria,266
Arthur Fils,264
Sebastian Baez,260
Michael Mmoh,251
Leandro Riedi,251
Carlos Alcaraz,250
Mackenzie McDonald,240
Benjamin Bonzi,240
Maxime Cressy,240
Miomir Kecmanovic,225
Pablo Varillas Juan,217
Alexei Popyrin,208
Aleksandar Vukic,191
Manuel Cerundolo Juan,182
Luca Van Assche,182
Jenson Brooksby,180
Francisco Cerundolo,180
Botic Van De Zandschulp,180
Raul Brancaccio,179
Vasek Pospisil,172
Matteo Berrettini,170
David Goffin,169
Christopher Eubanks,167
Dusan Lajovic,167
Mikael Ymer,165
Jason Kubler,165
Marcos Giron,162
Oleksii Krutykh,160
Adrian Mannarino,160
John Isner,158
Max Purcell,157
Tomas Machac,155
Lloyd Harris,155
Constant Lestienne,154
Liam Broady,152
Martin Etcheverry Tomas,152
Roman Safiullin,148
Hugo Dellien,146
Joris De Loore,146
Emilio Gomez,144
Antoine Escoffier,143
Hugo Gaston,142
Arthur Cazaux,139
Rinky Hijikata,136
Dennis Novak,135
Denis Shapovalov,135
Stan Wawrinka,135
Lorenzo Musetti,135
Radu Albot,130
Laslo Djere,130
Borna Coric,130
Quentin Halys,128
Facundo Bagnis,125
Daniel Evans,125
Enzo Couacaud,124
Abedallah Shelbayh,123
Yannick Hanfmann,123
Tomas Barrios Vera Marcelo,121
Aleksandar Kovacevic,120
Jack Draper,120
Aslan Karatsev,120
Bernabe Zapata Miralles,118
Cem Ilkel,118
Ferreira Silva Frederico,118
Zdenek Kolar,116
Jan-Lennard Struff,116
Guido Andreozzi,112
Tung-lin Wu,110
Alejandro Davidovich Fokina,110
Laurent Lokoli,110
Chan Hong Seong,108
James Duckworth,107
Alexander Shevchenko,107
Facundo Diaz Acosta,105
Gijs Brouwer,103
Matteo Gigante,100
Maximilian Marterer,100
Albert Ramos-Vinolas,99
Matteo Arnaldi,99
Nicolas Kicker,96
Andrea Collarini,95
Fabian Marozsan,93
Stefano Travaglia,93
John Millman,92
Marek Gengel,92
Pablo Llamas Ruiz,91
Nicolas Moreno De Alboran,90
Borna Gojo,90
Andy Murray,90
Ugo Humbert,90
Nicolas Jarry,90
Alexander Zverev,90
Lorenzo Sonego,90
Timofey Skatov,89
Damir Dzumhur,89
Brandon Holt,88
Sebastian Ofner,88
Lorenzo Giustino,87
Ryan Peniston,86
Sho Shimabukuro,85
Dalibor Svrcina,84
Marc-Andrea Huesler,84
Otto Virtanen,83
Tennys Sandgren,83
Giulio Zeppieri,82
Maximilian Neuchrist,82
Riccardo Bonadio,81
Daniel Rincon,81
Denis Kudla,81
Mikhail Kukushkin,81
Alberto Olivieri Genaro,81
Camilo Ugo Carabelli,81
Terence Atmane,80
Geoffrey Blancaneaux,80
Nuno Borges,80
Dominik Koepfer,80
Jason Jung,80
Marc Polmans,77
Kaichi Uchida,77
Dino Prizmic,76
Henri Laaksonen,76
Adrian Andreev,75
Gauthier Onclin,75
Jurij Rodionov,75
Filip Krajinovic,73
Jan Choinski,72
Raphael Collignon,72
Alexandre Muller,71
Titouan Droguet,70
Nicolae Madaras Dragos,70
Dimitar Kuzmanov,70
Juncheng Shang,70
Casper Ruud,67
Arthur Rinderknech,67
Clement Chidekh,67
Hsiou Hsu Yu,66
Jakub Mensik,66
Michael Geerts,65
Cristian Garin,65
Nikoloz Basilashvili,65
Emil Ruusuvuori,65
Luciano Darderi,63
Felipe Meligeni Rodrigues Alves,62
Oliver Crawford,62
Shintaro Mochizuki,61
Thiago Seyboth Wild,61
Cristian Jianu Filip,61
Joao Sousa,61
Gabriel Diallo,61
Yuta Shimizu,60
Alex Michelsen,60
Moez Echargui,60
Zizou Bergs,58
Daniel Altmaier,58
Bu Yunchaokete,58
Roberto Carballes Baena,58
Federico Delbonis,57
Alejandro Moro Canas,57
Prajnesh Gunneswaran,57
Christopher O'Connell,57
Valentin Royer,56
Francesco Maestrelli,56
Giovanni Fonio,55
Salvatore Caruso,55
Murkel Dellien,55
Pedro Martinez,54
Altug Celikbilek,54
Bogdan Bobrov,53
Ricardas Berankis,53
Nicolas Mejia,53
Alejandro Tabilo,53
Nick Hardt,52
Alexey Vatutin,52
Francesco Passaro,52
Dane Sweeny,51
Pavel Kotov,51
Alessandro Giannessi,51
Henri Squire,51
Taro Daniel,50
Colin Sinclair,50
Oriol Roca Batalla,50
Zachary Svajda,50
Oscar Otte,50
Calvin Hemery,50
Steven Diez,49
Renzo Olivo,49
Daniel Dutra da Silva,48
Omni Kumar,47
Mattia Bellucci,47
Eduardo Ribeiro,47
Gustavo Heide,47
Maks Kasnikowski,46
Evgeny Donskoy,46
Marco Trungelliti,46
David Ionel Nicholas,46
Nicolas Alvarez Varona,46
Dominik Palan,45
Vitaliy Sachko,45
Skander Mansouri,45
Alibek Kachmazov,45
Jeremy Chardy,45
Corentin Moutet,45
Rafael Nadal,45
Pablo Carreno-Busta,45
Alex Molcan,45
Diego Schwartzman,44
Marin Cilic,44
Daniel Masur,43
Vladyslav Orlov,43
Jesper De Jong,42
Tristan Schoolkate,42
Bautista Torres Juan,42
Alvaro Lopez San Martin,42
Ernesto Escobedo,42
