Novak Djokovic,2250
Stefanos Tsitsipas,1470
Cameron Norrie,1065
Daniil Medvedev,930
Karen Khachanov,810
Tommy Paul,785
Jannik Sinner,775
Taylor Fritz,735
Hubert Hurkacz,550
Carlos Alcaraz,550
Ben Shelton,540
Tallon Griekspoor,540
Jiri Lehecka,537
Sebastian Korda,510
Andrey Rublev,405
Frances Tiafoe,395
Benjamin Bonzi,390
Alex De Minaur,370
Roberto Bautista-Agut,370
Felix Auger Aliassime,360
Arthur Fils,354
Sebastian Baez,350
Grigor Dimitrov,340
Marton Fucsovics,330
Richard Gasquet,325
Holger Rune,315
Yosuke Watanuki,311
John Wolf Jeffrey,310
Yibing Wu,306
Bernabe Zapata Miralles,300
Woo Kwon Soon,298
Gregoire Barrere,297
Yoshihito Nishioka,290
Thanasi Kokkinakis,280
Leandro Riedi,271
Nicolas Jarry,270
Federico Coria,266
Pablo Varillas Juan,262
Maxime Cressy,260
Max Purcell,258
Dusan Lajovic,257
Michael Mmoh,251
Andy Murray,240
Mackenzie McDonald,240
Hugo Dellien,238
Francisco Cerundolo,225
Miomir Kecmanovic,225
Mikael Ymer,212
Alexei Popyrin,208
Nuno Borges,205
Botic Van De Zandschulp,200
Aleksandar Vukic,198
Manuel Cerundolo Juan,194
Albert Ramos-Vinolas,190
David Goffin,190
Jason Kubler,185
Luca Van Assche,182
Jenson Brooksby,180
Stan Wawrinka,180
Raul Brancaccio,179
Tomas Machac,177
Laslo Djere,175
Liam Broady,174
Vasek Pospisil,172
Matteo Berrettini,170
James Duckworth,170
Christopher Eubanks,169
Borna Gojo,166
Marcos Giron,165
Oleksii Krutykh,162
Adrian Mannarino,160
John Isner,160
Antoine Escoffier,160
Emilio Gomez,157
Lloyd Harris,155
Alejandro Davidovich Fokina,155
Constant Lestienne,155
Joris De Loore,155
Martin Etcheverry Tomas,152
Roman Safiullin,152
Guido Andreozzi,150
Aleksandar Kovacevic,146
Hugo Gaston,143
Arthur Cazaux,142
Quentin Halys,140
Chan Hong Seong,140
Rinky Hijikata,139
Dennis Novak,136
Denis Shapovalov,135
Yannick Hanfmann,135
Lorenzo Musetti,135
Radu Albot,135
Zdenek Kolar,134
Giulio Zeppieri,133
Gijs Brouwer,133
Borna Coric,130
Facundo Bagnis,128
Daniel Evans,125
Enzo Couacaud,125
Abedallah Shelbayh,124
Tomas Barrios Vera Marcelo,123
Christopher O'Connell,122
Jack Draper,120
Aslan Karatsev,120
Cem Ilkel,118
Alexandre Muller,118
Ferreira Silva Frederico,118
Alexander Shevchenko,118
Jan-Lennard Struff,116
Laurent Lokoli,116
Dominic Stricker,116
Maximilian Marterer,114
Tung-lin Wu,112
Jordan Thompson,111
Alex Michelsen,111
Matteo Arnaldi,110
Kaichi Uchida,110
Facundo Diaz Acosta,107
Denis Kudla,106
Gauthier Onclin,106
Matteo Gigante,105
Nicolas Moreno De Alboran,101
Pedro Martinez,100
Alexander Bublik,100
Brandon Holt,99
Nicolas Kicker,99
Andrea Collarini,99
Ryan Peniston,97
Stefano Travaglia,97
Fabian Marozsan,96
Riccardo Bonadio,94
Sho Shimabukuro,94
John Millman,93
Camilo Ugo Carabelli,93
Marek Gengel,93
Pablo Llamas Ruiz,92
Jason Jung,92
Jurij Rodionov,92
Dimitar Kuzmanov,91
Ugo Humbert,90
Alexander Zverev,90
Alex Molcan,90
Lorenzo Sonego,90
Timofey Skatov,90
Damir Dzumhur,90
Sebastian Ofner,89
Marc Polmans,89
Lorenzo Giustino,88
Dalibor Svrcina,86
Emil Ruusuvuori,85
Daniel Altmaier,85
Marc-Andrea Huesler,85
Otto Virtanen,84
Tennys Sandgren,84
Maximilian Neuchrist,83
Taro Daniel,82
Jan Choinski,82
Daniel Rincon,82
Mikhail Kukushkin,81
Alberto Olivieri Genaro,81
Zachary Svajda,81
Terence Atmane,81
Geoffrey Blancaneaux,81
Dominik Koepfer,80
James McCabe,80
Mitchell Krueger,78
Dino Prizmic,77
Henri Laaksonen,77
Adrian Andreev,77
Moez Echargui,77
Hsiou Hsu Yu,76
Filip Krajinovic,75
Luciano Darderi,75
Raphael Collignon,75
Alejandro Moro Canas,74
Pavel Kotov,72
Titouan Droguet,72
Nicolae Madaras Dragos,72
Juncheng Shang,70
Casper Ruud,70
Arthur Rinderknech,70
Clement Chidekh,70
Tristan Schoolkate,69
Thiago Seyboth Wild,68
Thiago Monteiro,67
Oliver Crawford,67
Jakub Mensik,67
Michael Geerts,67
Cristian Garin,66
Nikoloz Basilashvili,66
Felipe Meligeni Rodrigues Alves,65
Nicolas Mejia,65
Bernard Tomic,65
Shintaro Mochizuki,65
Federico Delbonis,64
Bu Yunchaokete,64
Yuta Shimizu,63
Francesco Passaro,63
Maks Kasnikowski,62
Cristian Jianu Filip,62
Joao Sousa,61
Gabriel Diallo,61
Prajnesh Gunneswaran,61
Henri Squire,61
Zizou Bergs,60
Alibek Kachmazov,60
Valentin Royer,59
Oriol Roca Batalla,59
Roberto Carballes Baena,58
Alex Bolt,58
Giovanni Fonio,58
Francesco Maestrelli,57
Salvatore Caruso,56
Renzo Olivo,56
Evgeny Donskoy,56
Nick Hardt,56
Murkel Dellien,56
Fabio Fognini,55
Elahi Galan Daniel,55
Altug Celikbilek,55
Bogdan Bobrov,55
Ricardas Berankis,54
Hamad Medjedovic,54
Alejandro Tabilo,54
Alexey Vatutin,53
Colin Sinclair,53
Daniel Dutra da Silva,53
Dane Sweeny,53
Harold Mayot,52
Adrian Boitan Gabi,52
Alessandro Giannessi,52
Benoit Paire,52
Charles Broom,51
Adam Walton,51
David Ionel Nicholas,51
Oscar Otte,50
Calvin Hemery,50
Steven Diez,50
Sumit Nagal,50
Elias Ymer,50
Omni Kumar,50
Mattia Bellucci,49
Eduardo Ribeiro,49
Gustavo Heide,48
Dominik Palan,48
